group_name,explanation,occupancy
omnivore__demersal,"Bottom-associated omnivores that feed on a mixed diet of animal and non-animal material.",565
detritivore__demersal,"Bottom-associated consumers that feed mainly on detritus or organic material in or on sediments.",457
carnivore__demersal,"Bottom-associated animal-feeding consumers that prey broadly on other animals.",378
carnivore__epifaunal,"Animal-feeding consumers living on or immediately above the substrate or vegetation surface.",331
detritivore__epifaunal,"Surface-associated consumers that feed mainly on detritus or organic material on vegetation or substrate surfaces.",317
piscivore__demersal,"Bottom-associated fish-eating consumers.",126
planktivore__epifaunal,"Surface-associated consumers feeding mainly on plankton.",95
invertivore__demersal,"Bottom-associated consumers feeding mainly on invertebrates.",65
carnivore__pelagic,"Water-column animal-feeding consumers that prey broadly on other animals.",52
planktivore__pelagic,"Water-column consumers feeding mainly on plankton.",49
piscivore__pelagic,"Water-column fish-eating consumers.",41
